Public Title of Study,Acne vulgaris,Acute hepatitis,Acute lymphoid leukemia,Acute myeloid leukemia,Age-related and other hearing loss,Age-related macular degeneration,Alcohol use disorders,Alcoholic cardiomyopathy,Alzheimer's disease and other dementias,Anorexia nervosa,Anxiety disorders,Appendicitis,Asbestosis,Ascariasis,Asthma,Atopic dermatitis,Atrial fibrillation and flutter,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Bacterial skin diseases,Benign prostatic hyperplasia,Bipolar disorder,Bladder cancer,Blindness and vision loss,Brain and central nervous system cancer,Breast cancer,Bulimia nervosa,Cannabis use disorders,Cardiomyopathy and myocarditis,Cardiovascular diseases,Cataract,Cellulitis,Cervical cancer,Chagas disease,Chlamydial infection,Chronic kidney disease,Chronic lymphoid leukemia,Chronic myeloid leukemia,Chronic obstructive pulmonary disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Cocaine use disorders,Colon and rectum cancer,Conduct disorder,Conflict and terrorism,Congenital birth defects,Congenital heart anomalies,Congenital musculoskeletal and limb anomalies,Contact dermatitis,Cutaneous and mucocutaneous leishmaniasis,Cyclist road injuries,Cystic echinococcosis,Cysticercosis,Decubitus ulcer,Dengue,Depressive disorders,Dermatitis,Diabetes and kidney diseases,Diabetes mellitus,Diarrheal diseases,Dietary iron deficiency,Digestive congenital anomalies,Digestive diseases,Diphtheria,Down syndrome,Drowning,Drug use disorders,Dysthymia,Eating disorders,Ebola,Ectopic pregnancy,Edentulism and severe tooth loss,Encephalitis,Endocarditis,"Endocrine, metabolic, blood, and immune disorders",Endometriosis,Enteric infections,Environmental heat and cold exposure,Esophageal cancer,Executions and police conflict,Exposure to forces of nature,Exposure to mechanical forces,Falls,Female infertility,"Fire, heat, and hot substances",Food-borne trematodiases,Foreign body,Foreign body in eyes,Foreign body in other body part,Fungal skin diseases,G6PD deficiency,G6PD trait,Gallbladder and biliary diseases,Gallbladder and biliary tract cancer,Gastritis and duodenitis,Gastroesophageal reflux disease,Genital herpes,Genital prolapse,Glaucoma,Gonococcal infection,Gout,Guinea worm disease,Gynecological diseases,Headache disorders,Hemoglobinopathies and hemolytic anemias,Hemolytic disease and other neonatal jaundice,HIV/AIDS,Hodgkin lymphoma,Hookworm disease,Hypertensive heart disease,Idiopathic developmental intellectual disability,Idiopathic epilepsy,Inflammatory bowel disease,"Inguinal, femoral, and abdominal hernia",Interpersonal violence,Interstitial lung disease and pulmonary sarcoidosis,Intestinal nematode infections,Intracerebral hemorrhage,Invasive Non-typhoidal Salmonella (iNTS),Iodine deficiency,Ischemic heart disease,Ischemic stroke,Kidney cancer,Klinefelter syndrome,Larynx cancer,Leishmaniasis,Leprosy,Leukemia,Lip and oral cavity cancer,Liver cancer,Low back pain,Lymphatic filariasis,Major depressive disorder,Malaria,Male infertility,Malignant skin melanoma,Maternal abortion and miscarriage,Maternal and neonatal disorders,Maternal disorders,Maternal hemorrhage,Maternal hypertensive disorders,Maternal obstructed labor and uterine rupture,Maternal sepsis and other maternal infections,Measles,Meningitis,Mental disorders,Mesothelioma,Migraine,Motor neuron disease,Motor vehicle road injuries,Motorcyclist road injuries,Multiple myeloma,Multiple sclerosis,Musculoskeletal disorders,"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",Myocarditis,Nasopharynx cancer,Near vision loss,Neck pain,Neglected tropical diseases and malaria,Neonatal disorders,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal preterm birth,Neonatal sepsis and other neonatal infections,Neoplasms,Neural tube defects,Neurological disorders,Non-Hodgkin lymphoma,Non-melanoma skin cancer,Non-melanoma skin cancer (basal-cell carcinoma),Non-melanoma skin cancer (squamous-cell carcinoma),Non-rheumatic calcific aortic valve disease,Non-rheumatic degenerative mitral valve disease,Non-rheumatic valvular heart disease,Non-venomous animal contact,Nutritional deficiencies,Onchocerciasis,Opioid use disorders,Oral disorders,Orofacial clefts,Osteoarthritis,Otitis media,Ovarian cancer,Pancreatic cancer,Pancreatitis,Paralytic ileus and intestinal obstruction,Parkinson's disease,Pedestrian road injuries,Peptic ulcer disease,Periodontal diseases,Peripheral artery disease,Pneumoconiosis,Poisonings,Polycystic ovarian syndrome,Premenstrual syndrome,Prostate cancer,Protein-energy malnutrition,Pruritus,Psoriasis,Pulmonary aspiration and foreign body in airway,Pyoderma,Rabies,Refraction disorders,Respiratory infections,Rheumatic heart disease,Rheumatoid arthritis,Road injuries,Scabies,Schistosomiasis,Schizophrenia,Seborrhoeic dermatitis,Sense organ diseases,Sexually transmitted infections excluding HIV,Sickle cell disorders,Sickle cell trait,Silicosis,Skin and subcutaneous diseases,Stomach cancer,Stroke,Subarachnoid hemorrhage,Substance use disorders,Syphilis,Tension-type headache,Testicular cancer,Tetanus,Thalassemias,Thalassemias trait,Thyroid cancer,"Tracheal, bronchus, and lung cancer",Trachoma,Transport injuries,Trichomoniasis,Trichuriasis,Tuberculosis,Turner syndrome,Typhoid and paratyphoid,Unintentional firearm injuries,Unintentional injuries,Upper digestive system diseases,Urinary diseases and male infertility,Urinary tract infections,Urogenital congenital anomalies,Urolithiasis,Urticaria,Uterine cancer,Uterine fibroids,Varicella and herpes zoster,Vascular intestinal disorders,Venomous animal contact,Viral skin diseases,Visceral leishmaniasis,Vitamin A deficiency,Whooping cough,Yellow fever,Zika virus
A study of Metformin with / without Administration of Thymoquinone in Patients with Diabetes,31,47,30,32,29,47,43,33,41,31,35,42,50,50,50,41,42,40,36,52,25,38,29,36,36,46,27,41,40,43,25,40,27,43,40,45,32,38,35,50,40,43,35,38,36,38,35,33,39,34,38,33,38,40,33,35,50,50,71,33,43,33,56,50,31,38,33,67,50,40,41,34,33,33,37,54,39,33,29,40,43,31,20,44,37,50,42,55,39,40,40,40,38,25,42,29,36,31,25,40,75,53,45,28,40,29,38,38,31,31,38,37,42,41,32,29,43,29,34,41,36,40,31,35,31,38,29,38,31,25,46,30,36,29,44,43,42,32,28,32,29,40,44,43,40,44,42,50,40,41,42,31,28,28,24,45,28,44,44,38,33,34,36,40,22,42,27,40,38,29,35,37,40,31,37,46,43,35,36,38,43,42,43,35,50,38,42,42,30,45,32,29,40,30,43,40,44,50,33,43,38,50,45,41,39,46,46,57,33,46,36,40,40,38,35,33,50,36,50,30,35,38,38,35,57,25,50,43,24,50,50,50,42,25,47,35,33,36,42,46,46,29,42,44,50,44,37,38,39,53,41,35,40,33,30
Asking the experience of women regarding the effect of Urinary Tract Infection (UTI) on their daily activities and assessing the effectiveness for Structured Counseling and Preventive Strategies(SCAPS) on their awareness regarding UTI and expressed habitual practices in the prevention of UTI.,31,47,35,36,44,28,33,29,41,25,35,50,40,20,33,41,45,38,32,30,25,38,21,36,33,31,47,27,27,26,12,40,47,21,35,36,32,29,32,29,29,24,39,12,36,42,38,29,31,37,38,29,23,33,33,5,20,43,34,22,43,27,17,20,31,25,17,22,19,20,29,28,25,17,28,30,11,31,41,37,39,45,40,28,36,25,33,35,32,25,27,30,31,22,33,32,14,19,38,30,25,42,27,17,40,33,38,38,31,31,29,32,38,32,32,31,37,21,26,24,27,17,46,40,38,19,29,38,38,42,38,20,4,20,45,35,27,26,26,17,32,31,24,40,46,34,27,36,19,15,15,31,22,16,19,27,28,19,33,33,33,32,36,24,33,42,41,35,25,27,23,26,36,30,33,38,14,20,36,38,14,27,7,12,33,31,42,25,30,15,32,10,20,33,22,7,11,12,11,38,25,50,30,23,30,45,15,43,30,31,32,25,47,38,29,33,47,30,33,14,35,38,24,29,29,33,33,14,33,38,11,43,33,33,33,35,40,45,32,30,25,29,25,33,36,38,33,28,22,47,18,35,36,17,20
Therapeutic Efficacy studies of ACT for Plasmodium faciparum malaria,38,40,39,36,38,41,48,33,38,44,30,53,40,50,50,47,39,41,27,39,39,44,36,29,33,38,40,36,37,39,38,40,40,36,45,32,40,38,24,40,36,43,35,44,32,29,46,27,39,32,48,24,32,47,33,32,50,29,41,33,52,41,39,60,38,25,35,44,50,40,41,39,33,33,39,38,33,33,35,37,46,41,40,36,39,38,33,39,35,35,53,50,38,28,33,36,50,44,38,30,50,44,38,41,45,38,50,25,38,52,33,37,33,32,42,33,30,29,21,47,51,40,31,32,46,38,43,43,46,42,46,35,36,100,44,52,30,35,39,47,32,34,33,43,30,50,50,38,35,47,35,31,33,33,39,36,44,38,33,38,41,27,32,34,67,39,41,30,46,17,40,42,30,47,37,38,30,40,50,50,43,36,43,47,36,26,37,44,54,40,44,38,30,41,33,33,44,38,44,40,38,50,40,36,60,31,54,57,33,31,38,45,25,43,41,33,31,43,50,30,40,29,32,41,43,42,44,43,36,38,56,36,33,33,47,26,39,39,47,41,33,29,33,56,40,44,42,34,43,42,32,55,21,33,30
Prospective study of eTEP a new technique of hernia repair in cases of hernioplasty for ventral hernia,38,53,39,41,44,31,17,33,29,56,35,50,50,30,50,35,45,40,36,43,50,44,36,40,37,46,40,41,33,22,40,30,47,29,40,45,36,33,35,39,33,38,30,32,41,38,38,29,33,32,43,38,38,40,33,40,30,43,29,33,35,40,44,50,38,25,33,56,38,60,47,38,44,33,28,42,33,28,35,32,43,41,50,33,43,25,50,50,39,40,27,42,29,34,38,29,36,50,25,40,25,47,32,44,35,33,38,31,38,46,31,37,38,49,34,27,34,39,34,41,41,40,38,40,38,38,57,38,42,42,38,35,40,40,44,15,30,42,44,42,39,33,47,57,35,50,42,38,50,44,35,38,33,28,46,36,33,44,56,44,39,41,36,33,67,36,36,35,38,36,35,26,31,33,41,38,43,35,43,38,36,42,36,35,42,40,42,38,45,40,48,43,30,37,45,47,37,38,44,34,38,44,35,55,39,40,38,57,33,38,36,45,36,38,42,33,43,50,50,35,43,25,52,35,43,33,40,36,39,50,39,43,38,42,40,43,40,41,45,43,33,48,25,44,50,44,37,38,30,37,47,37,29,48,40
This is an observational study conducted to observe how subjects with dizziness and dizziness associated symptoms are managed in primary care setting in India.,46,40,39,41,47,44,33,33,41,44,41,42,50,50,50,41,45,40,36,48,36,31,43,44,44,54,40,36,33,43,50,21,47,43,40,50,36,38,46,43,40,43,52,62,45,42,46,38,50,34,33,34,38,40,33,45,50,50,41,44,43,43,50,40,46,50,39,44,50,40,29,34,33,42,35,38,39,50,35,40,39,38,40,33,43,42,33,50,39,45,33,40,38,36,42,32,50,44,25,35,25,32,36,33,38,44,50,38,44,35,38,37,35,41,41,43,43,38,37,35,36,40,46,35,38,46,43,25,46,50,46,40,36,43,44,30,45,45,50,47,39,44,51,57,50,44,50,50,35,41,42,31,39,32,29,36,44,44,44,49,44,34,41,42,44,37,36,40,38,31,31,35,36,36,37,46,36,40,36,31,43,50,43,41,42,50,47,33,35,40,33,36,50,41,38,40,44,38,44,47,50,50,45,41,39,40,46,43,47,33,45,35,41,43,41,44,43,43,33,35,35,50,38,41,43,50,44,43,39,38,44,43,33,50,40,43,47,45,35,46,38,39,42,44,43,50,41,41,43,37,45,30,36,42,40
A clinical trial of a cream to be applied locally for adult subjects with painful growth in the anal region.,46,40,35,36,38,38,38,29,44,34,35,50,40,40,33,39,39,28,36,39,38,25,36,36,39,46,27,36,40,30,38,40,47,36,40,36,36,38,35,36,45,38,43,44,45,42,50,42,39,34,38,29,31,47,33,30,42,32,38,33,35,47,28,50,38,50,28,33,38,40,35,41,35,33,33,38,39,36,41,43,46,41,60,39,46,38,42,50,39,35,33,60,38,39,42,35,36,44,25,40,50,42,36,33,32,38,38,44,38,27,35,37,38,49,32,35,43,50,39,29,36,40,38,35,38,31,29,38,31,42,62,35,32,43,38,35,39,42,33,37,39,36,39,29,30,38,42,38,45,44,35,38,44,36,24,36,39,38,56,33,44,38,45,41,33,47,36,45,42,31,31,35,28,33,41,38,36,35,43,56,37,45,43,41,42,34,47,46,40,40,32,29,40,33,33,40,37,27,44,43,38,33,35,45,30,30,38,29,40,46,41,40,40,38,47,33,40,43,33,35,43,38,43,41,43,33,50,43,45,38,39,33,36,42,33,35,37,36,32,32,50,52,42,44,43,38,41,34,35,42,27,30,43,42,30
What makes the patients with glaucoma come to the hospital ?,38,60,48,41,35,31,38,33,34,44,35,42,50,20,50,41,42,29,36,43,36,31,43,32,28,38,47,41,33,30,38,40,40,35,40,32,36,33,27,43,40,33,26,38,32,46,50,36,44,29,29,29,38,27,33,25,50,39,41,39,35,50,39,30,23,25,28,33,44,60,35,44,35,35,35,38,44,44,41,37,39,34,40,33,39,33,25,35,35,35,27,40,31,31,42,32,50,44,100,40,50,37,27,44,46,29,38,38,31,38,40,53,31,30,36,28,37,41,35,29,45,40,31,15,38,31,29,50,23,26,54,45,28,29,38,43,33,35,39,42,35,36,44,57,40,38,50,38,30,37,35,44,39,36,35,36,33,33,67,36,22,25,41,38,33,47,27,40,46,31,31,30,28,25,30,38,36,35,36,38,36,50,36,41,50,31,42,33,35,45,36,43,20,15,33,47,33,38,33,26,38,50,40,36,39,40,38,57,27,31,41,45,36,33,41,33,37,43,33,37,35,50,38,32,57,25,56,36,33,62,39,36,27,42,33,39,33,36,39,35,38,42,33,33,36,31,41,28,35,37,36,35,50,42,30
A Clinical trial to compare the effect of methotrexate alone and the effect of giving methotrexate along with atorvastatin for the treatment of psoriasis vulgaris,77,47,35,41,47,38,43,38,41,50,35,35,40,70,67,47,42,35,32,44,46,31,36,32,46,46,29,32,33,35,38,40,53,40,35,41,28,33,38,32,38,38,48,38,41,46,42,36,39,44,33,33,38,40,33,35,40,39,35,33,35,38,33,50,38,50,39,33,50,40,41,34,33,35,30,46,44,44,41,47,46,38,40,39,43,50,42,50,45,35,40,50,38,33,42,32,43,50,62,35,25,37,36,50,32,40,62,38,32,23,35,39,35,38,41,40,40,38,29,41,41,47,46,45,38,46,29,38,31,42,54,50,36,57,38,35,48,48,50,47,35,47,42,43,40,50,50,38,45,30,38,38,33,28,29,38,39,44,56,36,39,39,45,40,33,47,41,35,33,33,33,37,36,39,44,38,57,35,36,44,50,42,43,47,42,40,37,33,50,40,36,43,50,44,48,47,30,50,100,36,38,50,40,41,35,40,38,43,53,38,36,35,36,43,41,56,40,43,33,30,39,38,43,47,43,42,50,43,36,50,39,43,50,33,33,43,33,41,35,38,50,39,50,33,43,44,42,52,52,37,36,35,43,33,40
Pharmaceutico-analytical and clinical study of Gandhaka Druti and its Cream in the management of Vicharchika.,46,40,35,32,35,41,33,38,36,44,29,42,40,50,33,41,45,35,36,43,18,31,50,36,41,38,33,27,40,26,62,60,40,35,35,36,36,38,35,32,36,29,48,25,50,33,38,38,39,37,33,43,38,33,33,30,50,39,41,39,31,40,33,50,38,50,39,56,38,40,41,38,42,33,35,31,33,44,41,47,39,38,40,39,35,29,42,37,39,30,33,30,47,44,38,35,36,38,50,40,50,32,27,33,38,36,38,44,31,36,34,42,35,41,32,31,43,33,24,29,44,47,38,35,38,46,43,38,42,42,33,40,28,57,50,43,52,45,44,32,26,36,40,29,40,44,42,38,30,33,35,38,39,27,28,45,39,38,44,31,33,38,36,36,44,37,27,40,38,36,31,40,36,36,33,25,48,25,29,38,43,33,37,41,50,19,32,38,35,35,32,36,40,41,38,40,33,38,40,40,50,33,35,32,35,36,46,29,38,42,36,40,33,38,38,44,40,43,33,36,35,25,33,41,29,29,24,36,33,50,39,40,55,33,33,39,40,45,29,43,42,42,33,56,43,31,44,41,35,38,33,35,36,25,50
A clinical trial to describe the safety of 13-valent pneumococcal conjugate vaccine in children 6 to 17 years of age.,54,40,39,43,38,44,38,29,37,44,35,42,40,50,33,47,31,27,32,40,36,31,43,36,39,38,40,36,26,30,38,40,47,37,50,36,36,38,35,36,43,44,43,50,42,46,42,36,50,37,43,38,38,40,33,30,50,43,35,33,40,50,39,40,31,50,28,33,38,40,29,34,42,50,35,46,44,34,35,30,46,41,60,39,32,30,42,45,45,35,33,40,28,39,33,29,43,44,50,55,50,42,32,22,32,38,50,38,38,31,40,42,42,43,45,36,37,33,34,41,37,40,46,40,42,26,50,50,38,42,38,30,28,43,44,48,36,35,28,32,32,33,40,55,50,44,42,50,50,37,35,44,29,24,21,45,33,46,33,36,33,35,41,44,44,47,32,35,33,33,31,40,34,36,44,33,43,30,29,50,45,33,43,41,42,43,42,54,30,30,21,64,30,33,38,40,33,25,44,36,38,33,35,41,35,35,38,57,40,54,36,40,31,38,41,33,40,36,50,35,30,38,38,41,57,33,39,43,33,50,39,36,42,36,33,26,22,45,32,41,42,39,42,44,43,31,37,48,43,42,19,40,36,42,40
A Study of Ivermectin Lotion 0.5% w/w for the Treatment of Pediculus humanus capitis (head lice) Infestation,38,47,30,32,44,41,43,38,34,29,35,50,50,60,50,35,39,40,44,35,39,31,36,44,36,38,27,45,30,35,38,50,40,36,55,36,28,29,35,32,38,48,43,44,41,33,38,38,33,29,38,38,38,40,33,35,50,39,35,39,30,37,44,50,46,38,39,44,38,40,41,34,50,50,35,30,56,39,41,43,39,41,40,50,50,33,42,45,35,30,33,50,25,33,33,26,43,33,50,50,25,38,24,56,35,40,62,31,38,38,27,37,42,38,32,35,57,42,39,41,36,47,38,30,46,46,43,25,46,58,38,30,32,43,50,30,36,33,39,42,35,31,49,29,40,38,42,50,40,44,35,38,33,36,32,55,33,50,44,38,28,34,36,42,33,42,32,35,33,31,27,40,32,39,48,38,43,35,29,44,36,50,29,35,42,48,42,38,40,30,36,36,40,33,42,47,48,50,44,40,38,50,40,55,52,60,46,57,33,31,45,25,42,33,47,44,33,43,50,22,43,38,39,41,57,33,46,36,36,50,44,30,25,50,47,30,50,41,39,41,58,35,33,33,43,44,44,45,43,32,45,30,29,33,50
"Effect of painkiller, piroxicam, on the success of local anesthesia during root canal treatment",54,50,35,36,44,31,38,33,36,50,29,44,60,40,67,35,35,22,40,38,39,38,43,40,36,46,33,36,37,39,38,30,47,50,55,41,28,29,28,32,31,34,43,38,41,54,42,33,33,28,38,43,38,40,50,35,44,33,35,44,35,50,44,50,38,62,33,56,44,40,35,38,40,42,28,38,44,39,41,37,43,38,40,36,43,42,42,35,48,45,33,50,34,39,29,39,43,44,38,40,25,32,45,39,31,36,38,31,38,28,40,32,35,41,36,35,40,32,39,35,32,53,38,40,38,31,57,38,38,42,54,35,36,43,50,35,39,39,39,42,39,29,38,36,57,44,58,50,28,41,38,31,39,32,26,45,28,38,67,44,39,38,41,38,33,47,41,25,38,40,31,40,30,33,44,29,36,45,36,38,36,42,50,47,45,38,42,46,28,34,32,36,30,33,41,47,41,38,33,22,38,50,45,41,30,30,46,57,33,38,32,27,40,38,53,33,33,36,50,30,39,38,41,47,43,33,44,50,42,50,46,35,33,42,40,30,35,36,36,27,38,48,33,56,64,38,37,34,43,32,32,35,36,42,30
To study the effect of transcranial direct current stimulation on urges to smoke tobacco among opioid dependent smokers.,38,40,35,36,32,47,48,25,41,50,47,50,40,50,50,41,42,40,52,44,39,44,50,36,31,46,38,45,22,35,50,50,53,36,39,41,32,29,41,43,29,52,30,50,41,46,36,27,39,25,38,38,31,33,50,50,40,39,35,39,43,43,33,40,38,38,44,44,50,40,47,44,33,42,35,46,44,34,42,53,46,41,40,39,39,42,42,35,29,45,40,40,27,33,38,37,59,48,50,40,50,32,36,39,36,40,38,31,44,31,21,37,31,24,45,35,40,42,37,47,41,40,38,35,46,42,43,38,38,42,46,35,44,43,44,35,45,42,50,37,42,33,31,43,40,50,42,38,45,23,27,44,44,44,41,45,29,38,33,36,44,28,41,31,33,42,41,35,42,29,31,33,38,33,42,38,36,50,43,50,43,42,50,47,50,38,42,46,35,40,36,36,40,33,41,40,44,38,33,34,38,50,55,45,43,30,46,57,34,46,36,40,38,52,41,44,43,50,67,39,43,25,38,53,57,27,33,43,27,62,39,43,50,35,40,35,30,36,29,43,43,42,27,44,50,44,28,45,47,47,31,35,50,33,50
comparative study of onset of labour using 2 forms of prostaglandins,38,33,35,36,33,34,43,25,30,31,41,42,50,40,50,35,29,28,36,40,36,38,29,56,35,38,47,44,33,39,62,30,27,43,35,38,28,29,32,36,23,48,29,38,25,21,27,25,44,31,33,29,31,40,40,45,40,39,42,29,36,27,39,30,38,50,47,47,50,40,47,32,42,25,28,31,33,26,29,33,61,41,40,39,39,33,43,35,29,39,33,40,32,30,43,34,36,50,38,35,50,42,26,29,28,22,38,31,38,27,34,28,36,32,27,29,33,25,24,29,32,33,38,35,38,46,57,25,36,50,38,35,44,57,32,39,33,33,35,26,32,33,35,29,38,31,25,50,33,33,34,44,39,29,30,45,28,39,44,32,29,27,41,35,44,37,32,39,38,31,31,21,26,28,37,29,36,44,29,44,43,33,36,41,50,19,47,41,39,33,32,36,42,37,33,60,37,38,33,30,50,67,39,36,30,35,38,43,33,23,41,35,33,38,29,31,38,36,33,35,46,27,33,35,43,42,44,36,31,25,36,36,33,45,34,39,32,38,28,29,38,26,33,22,36,38,31,27,39,40,32,37,36,42,40
Understanding the free time activities of retired elderly living in Indian metropolis,38,47,39,41,50,34,48,38,33,38,41,50,50,30,50,41,27,22,40,35,33,56,43,32,22,40,53,41,22,30,38,50,33,36,45,32,32,33,38,36,33,43,28,38,29,38,31,36,39,17,38,29,38,33,50,45,40,29,41,33,43,33,33,50,31,50,39,33,50,40,47,21,42,42,33,62,44,19,35,40,32,38,40,50,50,42,58,55,42,35,33,40,26,29,33,35,36,44,25,35,25,42,27,44,30,20,50,38,31,31,23,42,35,38,40,39,37,38,34,35,36,40,33,35,38,42,57,38,25,50,38,35,36,29,38,39,39,32,40,42,34,20,20,29,50,44,50,50,40,41,42,38,44,32,14,45,33,31,44,31,39,16,36,20,44,37,36,35,29,31,27,30,34,28,22,38,29,40,43,38,36,50,43,29,58,21,37,50,45,40,40,29,50,37,44,41,41,25,44,36,50,50,40,36,30,40,46,43,27,38,36,40,22,38,41,33,28,29,50,41,43,50,48,24,43,33,39,43,26,38,39,43,33,42,47,28,37,32,32,23,38,32,33,33,43,44,24,29,26,47,41,35,29,42,40
use and comparison of eye exercises and Goats ghee in treatment of Short sightedness,46,40,26,27,47,41,43,29,44,38,41,45,40,50,50,29,39,28,36,39,22,50,50,48,41,48,33,45,30,48,38,30,40,43,35,45,36,38,41,39,45,48,52,44,41,34,38,33,44,37,43,43,46,40,50,40,40,50,47,39,35,35,44,40,46,38,44,22,44,60,35,41,32,42,39,30,32,47,35,53,43,48,20,39,42,46,42,40,29,40,47,50,47,36,46,39,45,50,50,40,75,47,41,44,40,42,50,38,44,46,31,37,38,32,36,31,33,33,34,41,55,40,38,35,31,31,43,38,38,33,46,35,36,57,38,30,42,42,44,42,42,38,36,43,56,44,40,50,40,33,31,31,39,36,26,45,39,44,44,38,44,32,36,34,33,42,41,40,46,31,31,35,32,39,44,29,57,40,43,31,50,40,50,41,50,29,58,42,40,40,48,29,50,33,41,33,41,50,56,34,25,67,45,41,52,35,31,43,33,31,41,40,40,38,47,22,43,43,67,30,49,38,43,41,57,42,44,36,39,50,50,37,33,42,47,39,32,37,42,43,46,38,33,44,42,31,41,31,39,37,32,35,43,42,30
Treatment of fungal infection of skin with two antifungal drugs (terbinafine and itraconazole),38,47,32,32,29,34,38,33,33,31,35,42,40,30,40,40,45,35,36,43,20,31,36,36,38,38,47,36,35,30,50,30,40,36,60,41,36,38,35,36,30,29,39,31,45,38,38,29,35,37,43,33,38,33,33,25,40,33,41,39,35,37,39,38,38,38,44,33,44,40,47,38,33,42,41,32,61,37,41,47,43,31,40,61,41,43,33,40,42,60,33,50,31,36,38,29,43,38,50,70,25,37,36,33,42,33,38,38,38,29,38,32,42,43,45,37,57,42,39,35,36,40,38,35,38,31,43,25,35,42,31,25,28,43,56,43,36,39,39,37,29,33,44,29,40,44,33,62,33,26,33,31,33,32,28,27,33,44,44,46,39,41,36,51,44,37,36,35,42,31,31,37,36,28,37,38,43,30,36,44,29,50,43,47,50,48,37,46,33,30,32,43,40,37,42,47,48,38,44,38,25,50,40,64,31,20,38,43,33,38,32,35,44,33,47,33,40,43,50,35,39,25,43,47,43,29,44,43,42,75,56,43,33,33,40,35,40,41,34,46,67,45,42,33,57,50,37,31,39,42,36,35,36,33,40
A study to compare the effectiveness and safety of laparoscopic method of inguinal hernia surgeries.,46,47,35,36,50,38,43,42,38,44,53,42,40,30,50,35,45,30,36,39,43,25,29,40,33,38,33,27,40,35,38,40,40,36,45,36,36,33,35,34,33,38,48,31,45,46,38,42,33,41,45,48,38,47,50,42,40,39,39,33,43,40,39,40,38,62,41,33,50,40,47,38,42,33,33,38,50,39,41,47,50,50,60,39,36,25,50,45,35,40,40,40,34,33,41,35,43,56,50,50,50,47,32,50,36,38,50,31,38,38,34,32,42,59,36,43,53,38,39,41,45,50,38,35,38,54,71,38,35,42,38,35,37,43,38,30,39,42,44,37,35,38,49,43,40,50,55,50,38,38,39,31,39,34,41,36,39,50,44,41,47,34,41,42,44,42,42,30,42,40,40,23,43,33,44,50,50,40,43,44,36,50,43,41,50,36,37,46,40,45,44,36,40,30,38,40,30,50,33,43,25,67,50,50,43,40,50,43,33,46,38,35,40,43,35,33,37,43,50,39,37,38,38,41,57,25,39,46,33,38,48,36,25,42,47,39,42,54,38,32,54,35,42,44,43,38,43,48,48,42,45,35,29,42,40
The benefit of a solution in control of infection at pin insertion site after bone operation.,31,40,39,41,35,41,38,33,38,38,35,33,40,40,36,53,45,45,29,35,32,31,43,40,33,46,33,36,33,30,25,50,40,36,65,41,32,33,38,43,29,33,48,50,41,50,42,38,44,27,38,43,38,40,50,37,50,32,35,28,43,47,44,47,46,50,24,33,44,40,41,44,42,42,33,38,67,39,38,47,39,31,20,50,43,46,50,45,42,40,33,40,34,33,38,29,43,44,25,70,75,42,36,33,38,46,40,33,38,42,29,32,46,38,48,32,60,29,42,47,32,33,38,40,46,38,29,38,46,42,46,35,32,43,44,35,42,45,33,37,35,36,44,43,40,44,50,38,40,26,27,29,39,20,29,36,33,44,56,27,44,25,23,51,33,32,36,35,42,33,35,30,30,36,44,42,43,45,29,38,43,42,43,41,50,40,42,42,40,40,36,43,60,38,38,47,48,25,33,38,38,50,40,55,43,30,38,57,40,31,45,40,49,38,47,33,39,43,50,26,22,25,44,41,43,40,29,36,40,38,44,50,42,33,34,39,47,45,42,35,54,39,42,33,57,38,19,41,39,37,32,40,36,42,30
Abnormal vaginal discharge and its management thorough local application of 2 ayurveda drugs,46,40,35,36,35,44,43,38,44,50,41,58,30,40,33,41,45,42,44,43,39,44,43,36,33,54,40,45,37,48,50,40,40,43,50,41,32,38,41,36,40,43,48,44,45,33,42,36,28,37,38,33,31,53,33,45,40,36,41,39,35,40,39,40,38,38,61,44,50,40,35,43,30,42,41,46,39,36,35,43,43,38,40,44,39,38,33,40,34,35,40,40,44,28,42,42,36,38,50,45,50,42,36,44,31,36,38,40,44,31,33,32,42,41,36,39,43,51,21,35,36,47,38,30,31,38,29,25,38,42,46,30,44,57,38,39,48,45,50,49,48,31,44,33,40,50,50,50,40,26,20,38,28,52,29,36,28,44,44,36,50,39,41,44,44,32,45,34,25,33,31,37,45,38,41,33,36,50,43,50,36,42,43,35,50,38,47,21,40,40,44,29,40,48,38,33,44,50,44,47,50,50,45,45,43,40,35,57,27,38,36,35,38,48,35,44,40,36,33,35,43,38,48,35,43,25,24,43,33,38,27,36,42,33,27,39,33,36,39,43,54,45,42,44,36,38,37,52,39,37,36,35,52,33,50
